,분류명,조사연도,CO2,개체수,pH,BOD,SS,T-N,T-P,TOC
134,석패과,2017,412.2,57,7.8,3.7,7.4,5.0,0.072,3.3
135,석패과,2018,415.2,90,7.9,4.4,11.2,4.5,0.092,3.6
136,석패과,2019,417.9,32,8.4,4.1,15.2,5.8,0.155,4.8
137,석패과,2020,420.4,59,8.2,5.1,18.8,5.5,0.104,7.4
138,소금쟁이과,2015,407.0,29,7.8,2.3,3.6,9.906,0.099,4.74
139,소금쟁이과,2016,409.9,31,7.7,2.1,7.5,7.8,0.097,4.6
140,소금쟁이과,2017,412.2,31,7.8,3.7,7.4,5.0,0.072,3.3
141,소금쟁이과,2018,415.2,26,7.9,4.4,11.2,4.5,0.092,3.6
142,소금쟁이과,2019,417.9,89,8.4,4.1,15.2,5.8,0.155,4.8
143,소금쟁이과,2020,420.4,195,8.2,5.1,18.8,5.5,0.104,7.4
144,실잠자리과,2015,407.0,279,7.8,2.3,3.6,9.906,0.099,4.74
145,실잠자리과,2016,409.9,269,7.7,2.1,7.5,7.8,0.097,4.6
146,실잠자리과,2017,412.2,196,7.8,3.7,7.4,5.0,0.072,3.3
147,실잠자리과,2018,415.2,212,7.9,4.4,11.2,4.5,0.092,3.6
148,실잠자리과,2019,417.9,236,8.4,4.1,15.2,5.8,0.155,4.8
149,실잠자리과,2020,420.4,243,8.2,5.1,18.8,5.5,0.104,7.4
150,실지렁이과,2015,407.0,7,7.8,2.3,3.6,9.906,0.099,4.74
151,실지렁이과,2016,409.9,7,7.7,2.1,7.5,7.8,0.097,4.6
152,실지렁이과,2017,412.2,16,7.8,3.7,7.4,5.0,0.072,3.3
153,실지렁이과,2018,415.2,6,7.9,4.4,11.2,4.5,0.092,3.6
154,실지렁이과,2019,417.9,9,8.4,4.1,15.2,5.8,0.155,4.8
155,실지렁이과,2020,420.4,25,8.2,5.1,18.8,5.5,0.104,7.4
156,왕잠자리과,2015,407.0,10,7.8,2.3,3.6,9.906,0.099,4.74
157,왕잠자리과,2016,409.9,8,7.7,2.1,7.5,7.8,0.097,4.6
158,왕잠자리과,2017,412.2,5,7.8,3.7,7.4,5.0,0.072,3.3
159,왕잠자리과,2018,415.2,11,7.9,4.4,11.2,4.5,0.092,3.6
160,왕잠자리과,2019,417.9,6,8.4,4.1,15.2,5.8,0.155,4.8
161,왕잠자리과,2020,420.4,7,8.2,5.1,18.8,5.5,0.104,7.4
162,왼돌이물달팽이과,2015,407.0,187,7.8,2.3,3.6,9.906,0.099,4.74
163,왼돌이물달팽이과,2016,409.9,53,7.7,2.1,7.5,7.8,0.097,4.6
164,왼돌이물달팽이과,2017,412.2,62,7.8,3.7,7.4,5.0,0.072,3.3
165,왼돌이물달팽이과,2018,415.2,66,7.9,4.4,11.2,4.5,0.092,3.6
166,왼돌이물달팽이과,2019,417.9,346,8.4,4.1,15.2,5.8,0.155,4.8
167,왼돌이물달팽이과,2020,420.4,204,8.2,5.1,18.8,5.5,0.104,7.4
168,잠자리과,2015,407.0,76,7.8,2.3,3.6,9.906,0.099,4.74
169,잠자리과,2016,409.9,86,7.7,2.1,7.5,7.8,0.097,4.6
170,잠자리과,2017,412.2,59,7.8,3.7,7.4,5.0,0.072,3.3
171,잠자리과,2018,415.2,60,7.9,4.4,11.2,4.5,0.092,3.6
172,잠자리과,2019,417.9,62,8.4,4.1,15.2,5.8,0.155,4.8
173,잠자리과,2020,420.4,78,8.2,5.1,18.8,5.5,0.104,7.4
174,장구애비과,2015,407.0,11,7.8,2.3,3.6,9.906,0.099,4.74
175,장구애비과,2016,409.9,16,7.7,2.1,7.5,7.8,0.097,4.6
176,장구애비과,2017,412.2,9,7.8,3.7,7.4,5.0,0.072,3.3
177,장구애비과,2018,415.2,18,7.9,4.4,11.2,4.5,0.092,3.6
178,장구애비과,2019,417.9,12,8.4,4.1,15.2,5.8,0.155,4.8
179,장구애비과,2020,420.4,14,8.2,5.1,18.8,5.5,0.104,7.4
180,재첩과,2015,407.0,6,7.8,2.3,3.6,9.906,0.099,4.74
181,재첩과,2016,409.9,20,7.7,2.1,7.5,7.8,0.097,4.6
182,재첩과,2017,412.2,26,7.8,3.7,7.4,5.0,0.072,3.3
183,재첩과,2018,415.2,25,7.9,4.4,11.2,4.5,0.092,3.6
184,재첩과,2019,417.9,64,8.4,4.1,15.2,5.8,0.155,4.8
185,재첩과,2020,420.4,150,8.2,5.1,18.8,5.5,0.104,7.4
