한글과명,한글보통명,조사연도,개체수
잉어과,잉어,2014,1
잉어과,잉어,2015,1
잉어과,잉어,2015,1
잉어과,잉어,2017,1
잉어과,잉어,2018,1
잉어과,잉어,2017,6
잉어과,잉어,2020,1
잉어과,잉어,2017,1
잉어과,잉어,2017,5
잉어과,잉어,2015,3
잉어과,잉어,2006,1
잉어과,잉어,2017,1
잉어과,잉어,2019,1
잉어과,잉어,2006,1
잉어과,잉어,2015,1
잉어과,잉어,2015,2
잉어과,잉어,2008,1
잉어과,잉어,2016,2
잉어과,잉어,2009,1
잉어과,잉어,2017,1
잉어과,잉어,2017,1
잉어과,잉어,2017,2
잉어과,잉어,2016,1
잉어과,잉어,2007,1
잉어과,잉어,2014,2
잉어과,잉어,2018,2
잉어과,잉어,2015,1
잉어과,잉어,2016,1
잉어과,잉어,2016,1
잉어과,잉어,2015,1
잉어과,잉어,2018,10
잉어과,잉어,2014,10
잉어과,잉어,2014,2
잉어과,잉어,2020,1
잉어과,잉어,2016,1
잉어과,잉어,2015,1
잉어과,잉어,2015,1
잉어과,잉어,2014,1
잉어과,잉어,2016,1
잉어과,잉어,2015,1
잉어과,잉어,2014,1
잉어과,잉어,2014,1
잉어과,잉어,2014,1
잉어과,잉어,2020,3
잉어과,잉어,2016,1
잉어과,잉어,2018,20
잉어과,잉어,2015,3
잉어과,잉어,2020,2
잉어과,잉어,2019,1
잉어과,잉어,2020,1
잉어과,잉어,2011,1
잉어과,잉어,2015,1
잉어과,잉어,2017,1
잉어과,잉어,2010,8
잉어과,잉어,2017,1
잉어과,잉어,2018,1
잉어과,잉어,2020,1
잉어과,잉어,2015,1
잉어과,잉어,2015,3
잉어과,잉어,2020,6
잉어과,잉어,2020,2
잉어과,잉어,2014,1
잉어과,잉어,2016,1
잉어과,잉어,2015,1
잉어과,잉어,2014,1
잉어과,잉어,2019,1
잉어과,잉어,2016,5
잉어과,잉어,2014,1
잉어과,잉어,2019,10
잉어과,잉어,2015,2
잉어과,잉어,2019,1
잉어과,잉어,2020,1
잉어과,잉어,2016,1
잉어과,잉어,2013,2
잉어과,잉어,2017,2
잉어과,잉어,2017,1
잉어과,잉어,2018,3
잉어과,잉어,2014,2
잉어과,잉어,2007,1
잉어과,잉어,2020,1
잉어과,잉어,2019,1
잉어과,잉어,2014,2
잉어과,잉어,2015,1
잉어과,잉어,2017,1
잉어과,잉어,2015,2
잉어과,잉어,2014,15
잉어과,잉어,2017,1
잉어과,잉어,2015,1
잉어과,잉어,2014,1
잉어과,잉어,2018,1
잉어과,잉어,2006,1
잉어과,잉어,2018,1
잉어과,잉어,2017,1
잉어과,잉어,2017,1
잉어과,잉어,2005,1
잉어과,잉어,2015,1
잉어과,잉어,2018,3
잉어과,잉어,2016,2
잉어과,잉어,2014,1
잉어과,잉어,2015,1
잉어과,잉어,2014,4
잉어과,잉어,2016,1
잉어과,잉어,2018,1
잉어과,잉어,2015,1
잉어과,잉어,2015,1
잉어과,잉어,2017,8
잉어과,잉어,2015,1
잉어과,잉어,2018,2
잉어과,잉어,2015,3
잉어과,잉어,2014,1
잉어과,잉어,2020,4
잉어과,잉어,2017,1
잉어과,잉어,2020,1
잉어과,잉어,2015,9
잉어과,잉어,2015,3
잉어과,잉어,2014,1
잉어과,잉어,2020,1
잉어과,잉어,2020,1
잉어과,잉어,2005,1
잉어과,잉어,2020,3
잉어과,잉어,2018,1
잉어과,잉어,2016,1
잉어과,잉어,2020,3
잉어과,잉어,2019,3
잉어과,잉어,2020,1
잉어과,잉어,2018,1
잉어과,잉어,2020,1
잉어과,잉어,2015,2
잉어과,잉어,2014,1
잉어과,잉어,2019,1
잉어과,잉어,2015,1
잉어과,잉어,2007,1
잉어과,잉어,2015,2
잉어과,잉어,2010,2
잉어과,잉어,2014,1
잉어과,잉어,2020,6
잉어과,잉어,2015,2
잉어과,잉어,2019,5
잉어과,잉어,2005,1
잉어과,줄몰개,2020,4
잉어과,줄몰개,2019,1
잉어과,줄몰개,2020,5
잉어과,줄몰개,2018,2
잉어과,줄몰개,2018,1
망둑어과,꾹저구,2019,1
망둑어과,꾹저구,2017,1
망둑어과,꾹저구,2019,1
망둑어과,꾹저구,2020,1
망둑어과,꾹저구,2018,1
망둑어과,꾹저구,2020,1
망둑어과,꾹저구,2019,1
망둑어과,꾹저구,2020,1
망둑어과,꾹저구,2020,2
망둑어과,꾹저구,2020,1
망둑어과,꾹저구,2020,1
망둑어과,꾹저구,2019,1
잉어과,치리,2008,1
잉어과,치리,2010,2
잉어과,치리,2015,5
잉어과,치리,2015,3
잉어과,치리,2014,1
잉어과,치리,2010,4
잉어과,치리,2010,1
잉어과,치리,2015,2
잉어과,치리,2011,1
잉어과,치리,2007,1
잉어과,치리,2011,1
잉어과,치리,2014,4
잉어과,치리,2015,1
잉어과,치리,2010,1
잉어과,치리,2014,1
잉어과,치리,2010,1
잉어과,치리,2014,1
잉어과,치리,2010,1
잉어과,치리,2015,5
잉어과,살치,2018,1
잉어과,살치,2016,6
잉어과,살치,2018,1
잉어과,살치,2016,1
잉어과,살치,2018,10
잉어과,살치,2016,1
잉어과,살치,2018,17
잉어과,살치,2018,3
잉어과,살치,2018,1
잉어과,살치,2016,1
잉어과,살치,2017,1
잉어과,살치,2019,7
잉어과,살치,2018,1
잉어과,살치,2016,4
잉어과,살치,2017,1
잉어과,살치,2018,1
잉어과,살치,2016,13
잉어과,살치,2019,1
잉어과,살치,2019,1
잉어과,살치,2017,1
잉어과,살치,2018,1
잉어과,살치,2017,1
잉어과,살치,2018,1
잉어과,살치,2018,40
잉어과,살치,2017,1
잉어과,살치,2019,9
잉어과,살치,2016,1
잉어과,살치,2018,18
잉어과,살치,2016,13
잉어과,살치,2017,1
잉어과,살치,2018,1
잉어과,살치,2016,1
종개과,쌀미꾸리,2007,1
검정우럭과,블루길,2020,3
검정우럭과,블루길,2017,1
검정우럭과,블루길,2018,2
검정우럭과,블루길,2018,1
검정우럭과,블루길,2018,1
검정우럭과,블루길,2020,2
검정우럭과,블루길,2017,1
검정우럭과,블루길,2018,2
검정우럭과,블루길,2018,1
검정우럭과,블루길,2018,1
검정우럭과,블루길,2020,5
검정우럭과,블루길,2020,1
검정우럭과,블루길,2014,1
검정우럭과,블루길,2017,7
검정우럭과,블루길,2016,15
검정우럭과,블루길,2017,3
검정우럭과,블루길,2013,1
검정우럭과,블루길,2020,1
검정우럭과,블루길,2020,6
검정우럭과,블루길,2017,1
검정우럭과,블루길,2017,2
검정우럭과,블루길,2020,2
검정우럭과,블루길,2020,2
검정우럭과,블루길,2019,1
검정우럭과,블루길,2019,1
검정우럭과,블루길,2015,1
검정우럭과,블루길,2018,1
검정우럭과,블루길,2016,1
검정우럭과,블루길,2016,12
검정우럭과,블루길,2016,1
검정우럭과,블루길,2014,1
검정우럭과,블루길,2014,1
검정우럭과,블루길,2011,1
검정우럭과,블루길,2016,1
검정우럭과,블루길,2017,1
검정우럭과,블루길,2013,2
검정우럭과,블루길,2019,1
검정우럭과,블루길,2018,2
검정우럭과,블루길,2019,1
